Title,Source,Author,Published,Description,URL,Sentiment,Polarity
"Haitian college student in Ohio dies by apparent suicide after losing TPS status, family says - Fox News",Fox News,,2026-09-02T04:48:37Z,A Haitian-born college student in Ohio died in what his family believes to be a suicide after he was stripped of his temporary protected status.,https://www.foxnews.com/us/haitian-college-student-ohio-dies-apparent-suicide-losing-tps-status-family-says,Positive,0.05
"Iran retaliates after US strikes kill four at wedding party, state media reports - BBC",BBC News,,2026-09-02T03:19:44Z,The Iranian Red Crescent says a child was among those killed when shrapnel from a US strike hit a home. The US military says it is aware of the reports and it never targets civilians.,https://www.bbc.com/news/articles/cj06q4ynpmjo,Neutral,0.0
"Mass burials in Nepal as death toll from flash floods exceeds 1,000 - AP News",Associated Press,"Shristi Kafle, Sheikh Saaliq",2026-09-02T02:11:00Z,"Rescue teams are continuing to search for thousands of people still missing after last week's catastrophic flooding in Nepal and China, as the death toll exceeded 1,000. As police in Kathmandu buried dozens of bodies in multiple trenches, Nepal's disaster age…",https://apnews.com/article/nepal-flash-floods-death-toll-tibet-china-835459b2978adcd2b3bcf6e0595aee6c,Neutral,0.0
"Case against suspect in Charlie Kirk’s killing can proceed to trial, judge rules - CNN",CNN,"Cindy Von Quednow, Andi Babineau, Maureen Chowdhury, Elise Hammond, Lauren Mascarenhas, Brad Parks, Kristen Holmes",2026-09-02T01:29:00Z,"The case against Tyler Robinson, the man accused of fatally shooting conservative activist Charlie Kirk in Utah, can move to trial, a judge ruled Tuesday, citing sufficient probable cause.",https://www.cnn.com/2026/09/01/us/live-news/charlie-kirk-tyler-robinson-hearing,Neutral,0.0
2 test positive for measles after visiting UPMC Children’s Hospital of Pittsburgh - TribLIVE.com,TribLIVE,TribLive,2026-09-02T01:01:14Z,"Two people who visited UPMC Children&rsquo;s Hospital of Pittsburgh last week have tested positive for measles, prompting Allegheny County health officials to warn of possible exposures in several areas of the hospital. On Tuesday, the health department warne…",https://triblive.com/news/health-now/2-test-positive-for-measles-after-visiting-upmc-childrens-hospital-of-pittsburgh/,Positive,0.22727272727272727
Incumbent Sen. Ed Markey wins Massachusetts’ Democratic primary for US Senate - NPR,NPR,Maham Javaid,2026-09-02T00:38:46Z,"Bucking a push for younger leadership this election season, Sen. Ed Markey, 80, won the Democratic nomination against Rep. Seth Moulton, 47, who said that his party needed new leaders.",https://www.npr.org/2026/09/01/nx-s1-5953111/ed-markey-wins-massachusetts-democratic-primary-us-senate-seth-moulton,Positive,0.35
Haley tells Vance to ‘choose a side’: Israel or Tucker Carlson - The Hill,The Hill,Mira Bhakta,2026-09-02T00:20:00Z,"Former South Carolina Gov. Nikki Haley accused Vice President Vance Tuesday of not taking a clear stance on Israel — slamming him for trying to “be both.” “Right is right. Wrong is wrong. In life, you must choose a side. You are either with the Tucker Carlson…",https://thehill.com/homenews/administration/6064915-haley-vance-israel-tucker-carlson-choose/,Neutral,0.0
Jax Taylor Asks Judge for Restraining Order Against Brittany Cartwright Days After Her Filing - E! News,Eonline.com,,2026-09-01T23:28:00Z,"Jax Taylor and Brittany Cartwright's legal battle has continued, with him filing for a restraining order days after her temporary restraining order against him was granted.",https://www.eonline.com/news/1435628/jax-taylor-files-restraining-order-against-brittany-cartwright-reason-why,Neutral,0.0
"Report: Tony Romo’s BAC was 0.15 percent, nearly twice the legal limit - NBC Sports",NBCSports.com,Mike Florio,2026-09-01T22:53:25Z,"When former Cowboys quarterback and CBS broadcaster Tony Romo was arrested for OWI in Wisconsin, he initially indicated an unwillingness to submit to breath testing.",https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/report-tony-romos-bac-was-0-15-percent-nearly-twice-the-legal-limit,Positive,0.15000000000000002
Trump Ramps Up Pressure on Squeezed Refiners to Ease Pump Prices - Yahoo Finance,Yahoo Entertainment,Jennifer A. Dlouhy and Elizabeth Elkin,2026-09-01T22:25:26Z,"President Donald Trump pressed US oil refiners to boost domestic production of gasoline and diesel during a closed-door meeting Tuesday, as he contends with...",https://finance.yahoo.com/energy/articles/trump-ramps-pressure-squeezed-refiners-222526209.html,Neutral,0.0
"‘Wheel of Fortune’ announcer suspended, pending investigation - AL.com",AL.com,,2026-09-01T22:21:00Z,,https://www.al.com/life/2026/09/wheel-of-fortune-announcer-suspended-pending-investigation.html,Neutral,0.0
Tupac’s Murder Finally Has a Guilty Verdict. But the Mystery Isn’t Over - The Hollywood Reporter,Hollywood Reporter,Jeff Weiss,2026-09-01T22:18:11Z,"After 30 years of botched police work, gangland betrayals and conspiracy theories, a Las Vegas jury convicted Duane ""Keffe D"" Davis of Hip Hop's most haunting killing. THR's Jeff Weiss spent two weeks reporting on the strange, sprawling trial — and the questi…",http://www.hollywoodreporter.com/music/music-news/tupac-murder-guilty-verdict-mystery-isnt-over-1236686458/,Negative,-0.25
NC teen dead after contracting rare brain-eating amoeba found in freshwater health officials confirm - ABC11 News,WTVD-TV,Jon Dowding,2026-09-01T22:09:59Z,State health officials say the teenager died Monday.,https://abc11.com/post/nc-teen-dead-contracting-rare-brain-eating-amoeba-found-freshwater-health-officials-confirm/19775461/,Positive,0.033333333333333326
Andy Burnham promises more devolution and public control of essential services - BBC,BBC News,,2026-09-01T21:48:44Z,"Tory leader Kemi Badenoch said Burnham was offering ""more government control, more taxes and more politicians"", as he addressed MPs for the first time as PM.",https://www.bbc.com/news/articles/cx2z528rdp6o,Positive,0.16666666666666666
Dolly Parton's Walk of Fame star vandalized; repairs underway - ABC7 Los Angeles,KABC-TV,,2026-09-01T21:17:14Z,Dolly Parton's Hollywood Walk of Fame star is under repair after it was apparently vandalized by someone who scratched over the singer's name.,https://abc7.com/story/dolly-partons-walk-fame-star-vandalized-repairs-underway/19776465/,Neutral,0.0
Dell Stock Gains After Earnings Come In Way Ahead of Estimates - Barron's,Barron's,Angela Palumbo,2026-09-01T20:52:00Z,Dell reported better-than-expected second-quarter financial results after the stock market closed on Tuesday.,https://www.barrons.com/articles/dell-earnings-stock-price-d07d0ee7,Neutral,0.0
Bond Yields Around the World Soar in Challenge to Government Borrowing - WSJ,The Wall Street Journal,WSJ,2026-09-01T20:39:00Z,,https://www.wsj.com/finance/investing/bond-yields-around-the-world-soar-in-challenge-to-government-borrowing-c519c53f,Neutral,0.0
